data_date,security_id,d7
20171229,2968101,-0.0341
20171228,647001,NA
20171227,1117183801,NA
20171226,2394801,-0.1004
20171226,3538501,-0.5744
20171226,4943501,NA
20171222,78001,0.0093
20171222,229901,0.6797
20171222,597001,-0.0714
20171222,854301,-1.5242
20171222,1168801,-0.2294
20171222,1249801,0.0643
20171222,1434301,-0.0701
20171222,1637801,-0.0504
20171222,2634001,-0.4057
20171222,3413201,-0.5656
20171222,4260001,-0.0033
20171222,5068901,-0.0035
20171222,5464701,-0.1531
20171222,8386601,-0.2605
20171222,1117291901,NA
20171221,199301,-0.1338
20171221,883201,-0.0785
20171221,2972501,-0.0925
20171221,4705401,-0.091
20171221,5282501,-0.0301
20171221,5971101,-0.4489
20171221,6967801,-0.2936
20171221,8057901,-0.131
20171221,8224401,-0.0709
20171220,932101,-0.0281
20171220,1145701,-0.0262
20171220,1168901,-0.1037
20171220,1251201,-0.0843
20171220,1251301,-0.0843
20171220,1876701,-0.1673
20171220,2530701,-0.0853
20171220,2570701,-0.0307
20171220,4676001,-0.1377
20171220,4975101,0.0863
20171220,5926201,12.6825
20171220,8262901,-0.0699
20171220,8295101,-0.0521
20171220,8671201,-0.0836
20171220,28474201,-0.0509
20171220,1116715101,-0.0028
20171219,3314801,-0.0574
20171219,3314901,-0.0574
20171219,8379301,NA
20171218,606701,-1.099
20171218,1888001,-1.6528
20171218,3629601,NA
20171218,4083701,-0.0367
20171218,4333101,-0.0928
20171218,7861001,-0.0109
20171218,7861101,-0.0109
20171218,29773501,NA
20171218,1100252001,NA
20171215,204201,-0.0722
20171215,209901,-0.2686
20171215,774801,6e-04
20171215,1745101,-0.2857
20171215,2802701,0.1857
20171215,3800701,0.6343
20171215,5007501,-0.1425
20171215,5294701,-0.1052
20171215,6809101,-0.1312
20171215,6843401,-0.0886
20171215,8007101,-0.0355
20171215,29124001,NA
20171215,1100198901,NA
20171215,1101253501,NA
20171215,1113318601,NA
20171215,1114446701,NA
20171215,1116591001,NA
20171214,90201,-0.001
20171214,524101,-0.0126
20171214,1747201,-0.0691
20171214,1865901,-0.0556
20171214,2843801,-0.1633
20171214,3621201,-0.1109
20171214,3677501,-0.0036
20171214,5082301,-0.0274
20171214,6842401,-0.0972
20171214,1098298401,0.2665
20171214,1101406401,NA
20171214,1107598201,-0.3151
20171213,562501,NA
20171213,659101,-0.692
20171213,2308601,-0.1672
20171213,5428601,-0.1052
20171213,6969401,0.0416
20171213,7294501,-0.2207
20171213,7971901,-0.2182
20171213,29547501,-0.2425
20171213,1113987501,-0.1188
20171213,1115432801,-0.4604
20171213,1115939201,-0.258
20171213,1117808001,NA
20171212,299401,-0.1048
20171212,1264301,-0.1461
20171212,3735901,0.0134
20171212,3910701,-0.0732
20171212,5509101,3.7558
20171212,7464001,-0.1154
20171212,7562301,1.4652
20171212,7858501,-0.1175
20171212,7888001,0.1336
20171212,34814901,-0.0985
20171212,1108506501,-0.1399
20171212,1110286901,2.2822
20171211,3636401,-0.0388
20171211,3865801,-0.086
20171211,5230401,-0.1498
20171208,1128301,-2.8553
20171208,1208801,-0.0597
20171208,1296101,0.0859
20171208,1345501,3.7404
20171208,1421101,0.67
20171208,1656001,-0.0616
20171208,1700701,-0.0539
20171208,2424701,-0.1926
20171208,2632201,-0.0065
20171208,3088101,-0.2074
20171208,3391401,0.0258
20171208,4645501,-0.0941
20171208,4932401,-0.0663
20171208,7010801,0.0532
20171208,7255501,-0.0662
20171208,7602001,-0.1539
20171208,7812001,-0.0546
20171208,7876001,-0.1167
20171208,1089993201,4.0894
20171208,1092418501,-0.0451
20171208,1092917801,NA
20171208,1098600401,-0.0922
20171208,1101651701,-0.0394
20171208,1110731601,-0.0264
20171208,1111135201,-1.0361
20171208,1113854401,-0.0417
20171208,1114908501,-0.2891
20171208,1115416601,0.0379
20171208,1115924801,-0.0374
20171208,1117153801,NA
20171207,451101,-0.2083
20171207,569001,-0.3977
20171207,630701,-0.2191
20171207,985601,-0.242
20171207,995201,0.238
20171207,1064101,-0.0327
20171207,1064201,-0.0327
20171207,1372601,-0.2028
20171207,1637001,-0.0763
20171207,2954901,0.1353
20171207,3136301,-0.0977
20171207,3136401,-0.0977
20171207,3458401,-0.0496
20171207,3607801,-0.0757
20171207,3993301,-0.0236
20171207,4166101,-0.1029
20171207,4727701,-0.3106
20171207,4897601,-0.0148
20171207,6879401,-0.7607
20171207,7459401,-0.0933
20171207,7973501,-0.1438
20171207,8209801,-0.1224
20171207,31365101,-0.1926
20171207,1091330301,-0.1569
20171207,1097156801,-0.2406
20171207,1113117501,-0.8714
20171207,1114126201,-0.069
20171207,1114284801,-0.0222
20171207,1115032501,-0.0017
20171207,1115829101,-0.0843
20171207,1117026601,1.2936
20171206,733701,-0.1459
20171206,824801,NA
20171206,2355401,-0.0723
20171206,2893101,0.0469
20171206,3439301,0.0562
20171206,3953401,-0.0625
20171206,4155101,-0.2906
20171206,4266601,-0.227
20171206,5329001,-0.1625
20171206,5663901,-0.1978
20171206,7594601,-0.0452
20171206,8001101,-0.1351
20171206,23685401,0.0124
20171206,1100258401,-0.3017
20171206,1100582701,-0.1625
20171206,1103594701,-0.3485
20171206,1103651301,-0.2062
20171206,1106789901,NA
20171206,1107892801,0.1258
20171206,1110866101,-1.2565
20171206,1112810401,-0.1584
20171206,1113792301,-0.3152
20171206,1115058101,-0.1095
20171206,1116933701,-0.1526
20171205,3326901,-0.0777
20171205,1107100801,-0.6152
20171205,1114187601,NA
20171205,1115990301,NA
20171205,1116292901,1.5963
20171204,530101,-0.0324
20171204,923501,-0.1417
20171204,2982201,-0.2778
20171204,34135401,NA
20171204,1077406701,-0.38
20171204,1103397701,NA
20171204,1117375801,NA
20171201,509701,0.2721
20171201,852301,-0.1024
20171201,1199701,NA
20171201,1801901,-0.0485
20171201,2028001,-0.0388
20171201,2348901,-0.034
20171201,3996101,-0.1133
20171201,5203201,-0.3815
20171201,7602201,NA
20171201,7852201,0.0216
20171201,8311901,-0.132
20171201,8509301,NA
20171201,8514801,-0.0436
20171201,8660001,-0.0228
20171201,8669701,NA
20171201,8671401,NA
20171201,31765901,NA
20171201,33097901,-0.1127
20171201,33424901,-0.1889
20171201,1096039401,-0.3136
20171201,1100179301,0.1773
20171201,1101253501,NA
20171201,1103349001,-0.172
20171201,1103542201,0.1181
20171201,1103679501,-1.0728
20171201,1113684801,-0.1605
20171201,1115544001,1.9739
20171201,1117029401,NA
20171130,1614301,-0.0263
20171130,1950501,-0.1076
20171130,3800901,-0.1393
20171130,4016801,0.026
20171130,4020801,-0.3207
20171130,4759801,-0.0272
20171130,5035501,-1.1528
20171130,5297801,NA
20171130,5540101,-0.0069
20171130,5558001,-0.1397
20171130,5988301,-0.1324
20171130,6073601,NA
20171130,6919401,-0.1054
20171130,7380301,-0.2129
20171130,7573201,-0.0826
20171130,29344601,-0.0067
20171130,35447501,-0.3763
20171130,1101608401,-0.2855
20171130,1102769701,-0.4841
20171130,1103541201,4.3985
20171130,1114394201,-0.2412
20171130,1114428001,4.9627
20171130,1115863001,NA
20171130,1115990201,-0.0469
20171130,1116120701,-0.016
20171130,1117723401,NA
20171129,726901,-9.9703
20171129,827401,NA
20171129,1311801,-0.0382
20171129,1936501,-0.0133
20171129,5140201,-0.1426
20171129,8456901,-0.0729
20171129,8673001,NA
20171129,22419101,-0.1046
20171129,26835701,-0.0382
20171129,36227101,NA
20171129,1095427101,-0.2754
20171129,1100713701,-0.1357
20171129,1113328901,NA
20171129,1113909601,0.0132
20171129,1114302901,4.4221
20171129,1114776401,2.3462
20171129,1115043001,1.1296
20171129,1115258501,3.2455
20171129,1116274401,NA
20171128,4393601,-0.0599
20171128,7460801,-0.2368
