data_date,security_id,d1
20100104,647001,3.453
20100104,696801,1.582
20100104,702901,NA
20100104,1178501,NA
20100104,1323901,-0.9449
20100104,1384501,NA
20100104,1536201,NA
20100104,1604101,-9.422
20100104,1610801,-3.769
20100104,2486001,-4.0556
20100104,2664401,-14.694
20100104,2695001,-1.5094
20100104,2821001,-0.911
20100104,3523901,-4.442
20100104,4843901,6.197
20100104,5126301,-0.83
20100104,5299101,NA
20100104,5494301,-1.604
20100104,5498201,-2.144
20100104,5690901,NA
20100104,5694501,NA
20100104,5749801,NA
20100104,6963101,NA
20100104,7053601,NA
20100104,7783801,-2.746
20100104,7794701,2.787
20100104,7794901,0.0077
20100104,8000101,12.9165
20100104,8052801,NA
20100104,8208101,-4.981
20100105,1168901,2.459
20100105,4606301,-5.509
20100106,581101,10.221
20100106,4130401,-1.883
20100106,4834101,-15.8
20100106,7040301,16.286
20100106,7384301,56.029
20100106,7459201,-6.326
20100106,33060401,6.02
20100107,199401,36.7
20100107,229001,2.013
20100107,883201,-41.298
20100107,1059901,-10.057
20100107,2539201,-40.32
20100107,3557001,8.687
20100107,4765001,-1595
20100107,5692501,-0.725
20100107,5880001,127.533
20100107,5980701,4.396
20100107,5996301,6.685
20100107,6032501,9.108
20100107,6088601,20.389
20100107,6847201,2.844
20100107,6941901,43.412
20100107,7769401,31.714
20100107,8057901,0.8656
20100107,8262901,24.669
20100108,597901,367.656
20100108,1168801,0.539
20100108,1357501,1.891
20100108,1674101,67.2
20100108,2819401,1.494
20100108,3039001,79.138
20100108,3058801,-0.5255
20100108,4154801,-35.826
20100108,4202701,NA
20100108,4202901,NA
20100108,4388101,41.692
20100108,5132601,-22.012
20100108,6045001,0.582
20100108,6165901,1.011
20100108,6842801,-98.264
20100108,7170501,11.465
20100108,7376401,-6.522
20100108,7529201,23.325
20100108,33172401,7.874
20100108,1090609401,8.029
20100108,1113653301,52.128
20100111,156201,25.9149
20100111,3130501,-6.842
20100111,4536601,1.051
20100111,5478201,1.6
20100111,5706001,-12.267
20100111,5815501,-0.3125
20100111,7001001,-5.14
20100111,7422201,-0.5461
20100112,288501,761
20100112,682501,5.073
20100112,716301,-11.773
20100112,1418701,18900
20100112,4507101,-0.928
20100112,8050701,16.003
20100112,8434501,45.498
20100112,1078236501,0.787
20100113,591901,-1.5209
20100113,2349801,NA
20100113,2499401,-3.98
20100113,2698501,-9.904
20100113,2856701,-53.448
20100113,3114701,-94.185
20100113,3601301,13385.7
20100113,3931701,236.565
20100113,4260601,76.318
20100113,5113501,0.1182
20100113,7353501,-198
20100113,8519301,13.611
20100114,569401,-0.7293
20100114,1285001,-3.9921
20100114,1471701,30.62
20100114,1741301,26.221
20100114,3834001,1.403
20100114,6884301,34.681
20100114,6989001,0.9418
20100114,7459401,-0.487
20100115,93201,5.653
20100115,776301,-1.8583
20100115,826301,6.384
20100115,830901,0.2662
20100115,932101,0.639
20100115,1141901,22.047
20100115,1579901,-47.652
20100115,2317301,1.627
20100115,3641101,2324
20100115,3707101,-8.8305
20100115,4426201,-9.094
20100115,5629801,-0.8888
20100115,5964401,-0.456
20100115,6942101,146.979
20100115,6959201,10.127
20100115,7448901,-1.5454
20100115,7458201,0.1594
20100115,8470201,NA
20100115,18137801,-2.8255
20100119,1259401,24.185
20100119,2732201,-21.0437
20100119,3795301,11013
20100119,7310301,-2.0535
20100119,32294301,3.599
20100120,805601,-31.235
20100120,1146601,52
20100120,1328101,-5.031
20100120,1436001,-42493
20100120,1772901,-19.926
20100120,2552401,40.476
20100120,2688501,120.936
20100120,2695501,0.869
20100120,2847801,2.4792
20100120,2857601,-28.699
20100120,3133501,-1.467
20100120,3223201,-29.177
20100120,3679901,5122
20100120,4166101,9.669
20100120,4531901,21.067
20100120,4582701,-13.233
20100120,5228101,-6.347
20100120,5447201,315.064
20100120,5520301,2.533
20100120,5593201,9.1016
20100120,5958001,-12.279
20100120,6849801,705
20100120,7304401,80.043
20100120,7353401,1.572
