data_date,security_id,d6
20150505,1110970701,-4018.24
20120906,6879401,-1866.38
20121205,6879401,-1736.32
20120607,6879401,-1727.34
20120330,6879401,-1608.67
20100507,5970101,-1567.03
20150811,21676901,-1528.04
20171107,1783301,-1070.45
20170814,7106001,-995.486
20161111,4310101,-776.957
20151106,1114050901,-718.764
20160503,1103481301,-672.57
20170313,1786301,-651.6
20151111,1113783401,-625.972
20150508,1096769201,-589.269
20171108,1115045501,-555.769
20170809,1107427901,-554.714
20100202,2505901,-531.256
20161108,1111093301,-523.223
20150225,4446501,-494.097
20150316,229901,-473.822
20171109,1110971901,-467.963
20150513,10038901,-443.856
20100805,4517001,-426.45
20150313,32294001,-424.12
20140513,1107428301,-424.097
20150807,368901,-394.777
20171109,1113804201,-392.567
20110330,9379301,-381.313
20150811,35124101,-366.01
20171108,1114445901,-340.965
20170310,1114762401,-314.981
20170802,1103481301,-309.392
20131119,1107577601,-308.843
20140411,5297801,-258.103
20150518,1113783401,-257.161
20161104,1100902001,-256.308
20140507,34124201,-254.185
20161103,1113815201,-253.071
20120427,1101456201,-239.975
20120514,1783301,-238.131
20161104,1111344301,-219.658
20130125,6906401,-218.253
20150811,606701,-200.346
20160310,175701,-192.425
20160506,1111344301,-186.601
20170510,1114951301,-180.746
20100212,4745101,-179.536
20110513,3462801,-179.335
20100304,4982101,-166.799
20160304,1100045901,-165.733
20160809,1113657901,-163.39
20170510,1113815201,-156.495
20150810,932301,-152.888
20100812,8246401,-151.666
20150512,1113651601,-151.478
20120524,4997901,-149.046
20130314,36227001,-148.683
20120726,3616501,-146.85
20160817,1114302901,-145.623
20170815,1116121501,-143.263
20170810,1115045501,-140.077
20121026,1092885701,-137.768
20150227,1113032201,-136.172
20150129,7978501,-133.003
20140807,5131101,-130.488
20151113,1110567201,-130.019
20131115,7261701,-129.067
20160506,1112365001,-128.417
20100507,951501,-127.336
20100507,1261301,-127.336
20170516,1113728101,-124.121
20160226,1114951701,-122.401
20161103,1107889301,-122.374
20150820,1114302901,-120.53
20130312,2854401,-120.254
20140508,173401,-116.051
20170323,1115630801,-114.235
20161114,5001001,-113.414
20170308,1110971901,-111.4
20130807,5621701,-110.212
20160506,1114050901,-109.893
20171101,35124101,-109.123
20160511,1114195801,-107.847
20170809,1111263701,-107.753
20170228,1112920301,-102.575
20150508,1110986701,-101.647
20170308,35124101,-101.549
20170208,1114275201,-100.134
20110728,6811101,-98.7859
20141114,1111093301,-95.2277
20160805,1110986701,-92.8967
20160811,9202601,-92.75
20160729,5621701,-92.7238
20140501,2226801,-90.8957
20150512,1111082401,-89.908
20120503,4979501,-89.329
20160226,1110770401,-89.2762
20100506,1964701,-87.7224
20121112,5218401,-86.5856
20151111,1112928501,-86.0703
20171108,1107427901,-84.3372
20151106,35124101,-80.4018
20120314,1096769201,-80.1808
20120425,857601,-78.9226
